epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.255,2.02381,4.1879,1.58784,0.29852,0.3806,0.18388,0.0655,2.2002,14.8497,1.9209,0.0006629,0.0006629,0.0675179
2,198.874,2.03829,3.36511,1.64923,0.4833,0.24516,0.2372,0.09463,2.13544,3.83158,1.72427,0.00132924,0.00132924,0.0348509
3,295.327,2.0025,3.20273,1.64801,0.44824,0.37695,0.29721,0.11842,2.03913,4.44111,1.69648,0.00199428,0.00199428,0.00218261
4,396.006,1.95531,3.13761,1.61503,0.60218,0.25833,0.23162,0.08895,2.20656,3.84635,1.7635,0.00199561,0.00199561,0.00199561
5,498.903,1.91346,3.01429,1.57558,0.37595,0.38362,0.28575,0.12085,2.06366,3.65876,1.67731,0.00199219,0.00199219,0.00199219
6,602.025,1.89639,2.91095,1.55988,0.61128,0.23457,0.20887,0.08187,2.22002,21.466,1.77207,0.00198781,0.00198781,0.00198781
7,705.515,1.84399,2.80349,1.52257,0.57432,0.36573,0.34452,0.14365,1.99006,3.49511,1.60176,0.00198246,0.00198246,0.00198246
8,808.552,1.83819,2.72091,1.51038,0.54927,0.45756,0.426,0.18786,1.85926,3.15698,1.52112,0.00197616,0.00197616,0.00197616
9,911.544,1.84017,2.71255,1.50335,0.4059,0.42183,0.38428,0.17862,1.86631,2.92671,1.52068,0.0019689,0.0019689,0.0019689
10,1014.09,1.79409,2.63847,1.47613,0.55228,0.42745,0.43498,0.19401,2.00675,2.95084,1.59101,0.00196069,0.00196069,0.00196069
11,1116.98,1.79668,2.57241,1.47537,0.34898,0.43016,0.36628,0.16066,1.92111,3.66031,1.58005,0.00195155,0.00195155,0.00195155
12,1219.34,1.77768,2.54648,1.46787,0.55631,0.45614,0.42045,0.18523,1.88959,2.77718,1.53433,0.00194147,0.00194147,0.00194147
13,1321.84,1.76833,2.53334,1.4591,0.63583,0.47245,0.48543,0.23625,1.7885,2.598,1.46743,0.00193048,0.00193048,0.00193048
