epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,200.873,1.82738,2.94574,1.37652,0.41625,0.42936,0.38223,0.16222,1.93705,4.44678,1.46567,0.00033145,0.00033145,0.0671864
2,296.534,1.87845,3.00754,1.43138,0.42266,0.46119,0.36994,0.14883,2.01021,3.48176,1.51548,0.000664621,0.000664621,0.0341863
3,390.857,1.87718,2.943,1.43649,0.58354,0.38335,0.35425,0.15007,2.09853,3.62532,1.53463,0.000997142,0.000997142,0.00118547
4,484.763,1.85419,2.83434,1.42647,0.37783,0.4494,0.40212,0.17155,1.86405,3.20429,1.41783,0.000997803,0.000997803,0.000997803
5,579.901,1.82722,2.73581,1.40947,0.35178,0.43396,0.37262,0.16494,1.95413,3.77225,1.48812,0.000996097,0.000996097,0.000996097
6,673.755,1.80589,2.68187,1.38596,0.43113,0.50047,0.46366,0.21564,1.91761,2.90743,1.44232,0.000993906,0.000993906,0.000993906
7,767.536,1.793,2.59099,1.38064,0.44746,0.54759,0.50661,0.24529,1.83125,2.69989,1.42586,0.000991232,0.000991232,0.000991232
8,861.403,1.77107,2.54395,1.35107,0.57149,0.52173,0.55286,0.27474,1.77286,2.62287,1.3615,0.000988079,0.000988079,0.000988079
9,955.29,1.75687,2.49536,1.34668,0.51735,0.5238,0.49346,0.23904,1.89387,2.70159,1.41941,0.000984449,0.000984449,0.000984449
10,1049.29,1.7487,2.47083,1.33537,0.50922,0.51587,0.51657,0.25095,1.79274,2.7241,1.36933,0.000980345,0.000980345,0.000980345
11,1143.28,1.74695,2.42991,1.34209,0.49114,0.52551,0.4993,0.23638,1.83518,2.81828,1.4062,0.000975773,0.000975773,0.000975773
12,1236.77,1.7277,2.40269,1.32322,0.45415,0.50142,0.4647,0.22386,1.85721,2.84862,1.39546,0.000970736,0.000970736,0.000970736
13,1331.02,1.71334,2.35338,1.31598,0.40734,0.48986,0.44782,0.21555,1.82963,4.02945,1.37574,0.000965239,0.000965239,0.000965239
14,1424.77,1.71806,2.35324,1.31857,0.5849,0.55839,0.54863,0.27622,1.76993,2.54588,1.33869,0.000959289,0.000959289,0.000959289
15,1518.72,1.69857,2.33536,1.30294,0.5838,0.52548,0.53135,0.26998,1.76345,2.55119,1.33969,0.000952889,0.000952889,0.000952889
16,1612.51,1.68955,2.28492,1.29524,0.62379,0.5486,0.57514,0.28917,1.76547,2.4434,1.34629,0.000946048,0.000946048,0.000946048
17,1706.88,1.68345,2.27674,1.29432,0.52914,0.56223,0.56307,0.28174,1.77543,2.47825,1.33857,0.000938772,0.000938772,0.000938772
18,1800.54,1.67876,2.22197,1.28895,0.52335,0.57945,0.54869,0.26621,1.77435,2.42691,1.33355,0.000931067,0.000931067,0.000931067
19,1893.96,1.67113,2.21547,1.28258,0.60701,0.55732,0.56979,0.29871,1.72216,2.37434,1.31535,0.000922942,0.000922942,0.000922942
20,1987.63,1.65662,2.18063,1.2784,0.54493,0.5693,0.56914,0.28496,1.75988,2.60428,1.33786,0.000914405,0.000914405,0.000914405
21,2081.68,1.66456,2.17052,1.27543,0.57974,0.57426,0.58889,0.30147,1.73694,2.37567,1.31027,0.000905463,0.000905463,0.000905463
22,2175.21,1.65137,2.14439,1.2648,0.57519,0.59862,0.6074,0.31783,1.73426,2.31811,1.30682,0.000896127,0.000896127,0.000896127
23,2269.04,1.64633,2.09942,1.26671,0.51414,0.5048,0.53354,0.26787,1.81309,2.69928,1.38771,0.000886404,0.000886404,0.000886404
24,2362.87,1.6415,2.10571,1.26544,0.57669,0.59011,0.60173,0.30728,1.72577,2.34151,1.31663,0.000876305,0.000876305,0.000876305
25,2457,1.62774,2.09589,1.25197,0.56243,0.58688,0.58156,0.30489,1.72848,2.34434,1.31223,0.000865839,0.000865839,0.000865839
26,2550.66,1.61983,2.06867,1.24414,0.60643,0.59328,0.6121,0.31175,1.73837,2.25404,1.31729,0.000855018,0.000855018,0.000855018
27,2644.07,1.61846,2.02854,1.24742,0.5578,0.59232,0.61481,0.31716,1.72043,2.27477,1.30057,0.000843851,0.000843851,0.000843851
28,2737.89,1.61727,2.00486,1.24796,0.54906,0.63524,0.61791,0.33114,1.70017,2.27486,1.30254,0.000832349,0.000832349,0.000832349
29,2831.86,1.59608,1.99176,1.23765,0.52008,0.68067,0.62636,0.33002,1.72442,2.22849,1.31456,0.000820525,0.000820525,0.000820525
30,2925.29,1.60479,1.98262,1.2485,0.60917,0.57176,0.6132,0.32415,1.70601,2.28594,1.30779,0.000808389,0.000808389,0.000808389
31,3019.47,1.58947,1.95279,1.24035,0.59933,0.62286,0.62228,0.32268,1.72526,2.21452,1.3089,0.000795954,0.000795954,0.000795954
32,3112.9,1.58895,1.94691,1.23499,0.62513,0.57147,0.6171,0.33002,1.73264,2.30488,1.31637,0.000783231,0.000783231,0.000783231
33,3207.16,1.5792,1.93337,1.23035,0.59711,0.63252,0.63025,0.33365,1.70806,2.17901,1.3017,0.000770234,0.000770234,0.000770234
34,3300.94,1.57968,1.91948,1.22019,0.58077,0.65526,0.62085,0.32944,1.70961,2.22549,1.29849,0.000756976,0.000756976,0.000756976
35,3394.29,1.58446,1.90829,1.22478,0.63177,0.56529,0.61026,0.32818,1.69867,2.19941,1.29598,0.000743468,0.000743468,0.000743468
36,3487.59,1.55704,1.87454,1.21115,0.60053,0.62105,0.62817,0.33239,1.70989,2.17055,1.29638,0.000729725,0.000729725,0.000729725
37,3581.43,1.56764,1.86337,1.21925,0.59528,0.5869,0.62176,0.3377,1.71937,2.21332,1.31038,0.000715761,0.000715761,0.000715761
38,3675.21,1.55656,1.83589,1.21516,0.58243,0.62922,0.61982,0.32219,1.70184,2.13445,1.28954,0.000701588,0.000701588,0.000701588
39,3768.87,1.55042,1.81783,1.20313,0.64115,0.58744,0.61059,0.32663,1.70465,2.12618,1.29099,0.000687222,0.000687222,0.000687222
40,3862.12,1.55723,1.79715,1.21117,0.68065,0.57706,0.62318,0.32808,1.71032,2.1381,1.29068,0.000672675,0.000672675,0.000672675
41,3956.38,1.53501,1.8315,1.20811,0.61331,0.60625,0.61808,0.33008,1.69449,2.12685,1.2987,0.000657963,0.000657963,0.000657963
42,4050.43,1.52681,1.76946,1.19155,0.58415,0.67194,0.62121,0.33876,1.69601,2.09674,1.2973,0.000643101,0.000643101,0.000643101
43,4144.25,1.52295,1.7658,1.19328,0.61844,0.61639,0.62091,0.33056,1.72276,2.10067,1.31448,0.000628101,0.000628101,0.000628101
44,4237.99,1.52097,1.73131,1.19659,0.5987,0.61741,0.61932,0.33297,1.74297,2.11004,1.31044,0.000612981,0.000612981,0.000612981
45,4332.07,1.52139,1.7377,1.19309,0.60365,0.64718,0.62881,0.33648,1.70639,2.09432,1.29186,0.000597754,0.000597754,0.000597754
46,4425.88,1.50747,1.73308,1.18332,0.61225,0.66206,0.64657,0.34852,1.71352,2.0832,1.30707,0.000582435,0.000582435,0.000582435
47,4520.1,1.51458,1.72039,1.18714,0.63265,0.62488,0.64461,0.34169,1.70724,2.08089,1.29647,0.00056704,0.00056704,0.00056704
48,4613.81,1.4968,1.69921,1.18436,0.63528,0.62337,0.63928,0.34073,1.71087,2.10143,1.30596,0.000551584,0.000551584,0.000551584
49,4707.92,1.50756,1.67733,1.18386,0.58894,0.63854,0.62822,0.33443,1.71153,2.03892,1.29601,0.000536081,0.000536081,0.000536081
50,4801.73,1.48436,1.6582,1.17461,0.6548,0.61945,0.64369,0.34565,1.71184,2.0577,1.29632,0.000520548,0.000520548,0.000520548
51,4895.35,1.48597,1.65869,1.18133,0.6175,0.6611,0.64844,0.34763,1.73145,2.11288,1.31802,0.000505,0.000505,0.000505
52,4989.47,1.46846,1.61762,1.16447,0.61729,0.6112,0.6277,0.33496,1.71475,2.05328,1.29488,0.000489452,0.000489452,0.000489452
53,5083.97,1.4835,1.6329,1.17235,0.62954,0.62836,0.64912,0.35745,1.70058,2.05025,1.28553,0.000473919,0.000473919,0.000473919
54,5178.58,1.46241,1.59417,1.15887,0.65257,0.58452,0.63495,0.34538,1.70951,2.04939,1.30302,0.000458416,0.000458416,0.000458416
55,5272.38,1.46629,1.60864,1.16662,0.59056,0.63851,0.63356,0.34301,1.70235,2.12653,1.3001,0.00044296,0.00044296,0.00044296
56,5366.1,1.44412,1.56892,1.15467,0.64314,0.63495,0.64973,0.34993,1.71255,2.04789,1.29515,0.000427565,0.000427565,0.000427565
57,5460.4,1.4585,1.56465,1.15147,0.67062,0.59497,0.63268,0.32909,1.75663,2.05743,1.31479,0.000412246,0.000412246,0.000412246
