epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.1737,1.95747,5.26878,1.4685,0.42765,0.44141,0.33877,0.14987,1.94208,4.84976,1.47927,0.000329588,0.000329588,0.0673708
2,140.128,1.85297,3.02824,1.42697,0.30683,0.53527,0.38695,0.17316,1.85738,3.3645,1.44026,0.000662759,0.000662759,0.0343706
3,197.475,1.82265,2.87635,1.39195,0.36548,0.42509,0.3506,0.14393,2.12599,3.51109,1.52847,0.000995282,0.000995282,0.00136981
4,254.791,1.8321,2.79868,1.40477,0.38513,0.41099,0.37378,0.1569,1.96331,4.53064,1.4261,0.000997803,0.000997803,0.000997803
5,311.432,1.79309,2.78486,1.36616,0.54409,0.50475,0.44816,0.20102,1.91126,2.88503,1.44914,0.000996097,0.000996097,0.000996097
6,368.694,1.77028,2.62015,1.35712,0.61818,0.45362,0.44574,0.20997,1.88456,2.91283,1.42445,0.000993906,0.000993906,0.000993906
7,424.127,1.748,2.57716,1.34669,0.43154,0.50637,0.46661,0.22294,1.91103,2.91696,1.43787,0.000991232,0.000991232,0.000991232
8,480.293,1.75457,2.51307,1.32595,0.53518,0.51285,0.52599,0.25676,1.80203,2.72038,1.35884,0.000988079,0.000988079,0.000988079
9,536.51,1.74594,2.47188,1.33624,0.49014,0.52346,0.51533,0.23472,1.84069,2.74467,1.39949,0.000984449,0.000984449,0.000984449
10,593.051,1.7254,2.41979,1.32058,0.55586,0.57861,0.57627,0.27749,1.83038,2.595,1.37974,0.000980345,0.000980345,0.000980345
11,649.486,1.71069,2.38789,1.31175,0.50483,0.59032,0.55195,0.27682,1.76609,2.63909,1.3522,0.000975773,0.000975773,0.000975773
12,706.394,1.70723,2.36304,1.30425,0.62968,0.53096,0.55392,0.2681,1.76711,2.56129,1.34023,0.000970736,0.000970736,0.000970736
13,762.958,1.70031,2.32445,1.30548,0.69941,0.50938,0.54749,0.27066,1.83605,2.50578,1.36298,0.000965239,0.000965239,0.000965239
14,819.331,1.67875,2.29503,1.3004,0.57537,0.57367,0.5908,0.30808,1.75969,2.4431,1.33082,0.000959289,0.000959289,0.000959289
15,876.087,1.67222,2.25169,1.29492,0.57285,0.57538,0.5892,0.29248,1.76461,2.41016,1.32968,0.000952889,0.000952889,0.000952889
16,933.125,1.67356,2.20244,1.28539,0.55804,0.57452,0.56292,0.29616,1.77741,2.53686,1.33756,0.000946048,0.000946048,0.000946048
17,989.868,1.67032,2.22592,1.29116,0.69839,0.53515,0.59042,0.29931,1.73103,2.38217,1.30517,0.000938772,0.000938772,0.000938772
18,1046.14,1.66665,2.18329,1.27692,0.57736,0.57462,0.56674,0.2905,1.79908,2.52551,1.34184,0.000931067,0.000931067,0.000931067
19,1102.34,1.65625,2.17457,1.27004,0.60039,0.52362,0.58708,0.30682,1.75643,2.42701,1.32593,0.000922942,0.000922942,0.000922942
20,1159.24,1.6494,2.16405,1.272,0.54129,0.6149,0.60388,0.30425,1.75792,2.35253,1.30771,0.000914405,0.000914405,0.000914405
21,1215.34,1.65805,2.12089,1.27862,0.61326,0.57133,0.60029,0.31509,1.73191,2.2779,1.31499,0.000905463,0.000905463,0.000905463
22,1272.65,1.63968,2.07949,1.26589,0.62337,0.57817,0.61836,0.32105,1.73091,2.32034,1.31197,0.000896127,0.000896127,0.000896127
23,1330.7,1.615,2.05272,1.2605,0.62367,0.59465,0.60038,0.32433,1.69813,2.23758,1.31347,0.000886404,0.000886404,0.000886404
24,1388.61,1.62383,2.01147,1.2622,0.61672,0.55967,0.59856,0.30879,1.77296,2.29373,1.34148,0.000876305,0.000876305,0.000876305
25,1448.2,1.61848,2.02108,1.24672,0.5944,0.56326,0.58626,0.30894,1.78183,2.36661,1.32608,0.000865839,0.000865839,0.000865839
26,1505.18,1.61103,2.02457,1.24434,0.63389,0.59421,0.63107,0.33231,1.6891,2.24198,1.28228,0.000855018,0.000855018,0.000855018
27,1562.76,1.60833,1.99436,1.23963,0.61855,0.60895,0.64576,0.34763,1.71092,2.20201,1.30452,0.000843851,0.000843851,0.000843851
28,1619.24,1.60374,1.96696,1.24805,0.62802,0.56817,0.62246,0.32291,1.74574,2.29919,1.32225,0.000832349,0.000832349,0.000832349
29,1675.67,1.60569,1.96193,1.25111,0.64504,0.59147,0.62525,0.32881,1.71656,2.26973,1.32095,0.000820525,0.000820525,0.000820525
30,1732.12,1.58687,1.93775,1.23292,0.59608,0.61713,0.61971,0.32777,1.73887,2.31666,1.30931,0.000808389,0.000808389,0.000808389
31,1789.17,1.58074,1.9343,1.2317,0.64405,0.54038,0.57655,0.29545,1.82969,2.51251,1.37325,0.000795954,0.000795954,0.000795954
32,1846.52,1.55906,1.90066,1.22144,0.66753,0.58696,0.64,0.3416,1.71942,2.22663,1.29572,0.000783231,0.000783231,0.000783231
33,1903.63,1.57891,1.90019,1.22923,0.6083,0.63881,0.62955,0.33669,1.70687,2.14862,1.28551,0.000770234,0.000770234,0.000770234
34,1960.62,1.5616,1.86622,1.2127,0.59231,0.6298,0.61693,0.32512,1.72343,2.28017,1.30042,0.000756976,0.000756976,0.000756976
35,2016.75,1.55405,1.85505,1.20559,0.62305,0.63885,0.65679,0.34862,1.69213,2.1364,1.29102,0.000743468,0.000743468,0.000743468
36,2073.43,1.56459,1.85012,1.21335,0.60654,0.59789,0.62408,0.33077,1.7158,2.15354,1.30262,0.000729725,0.000729725,0.000729725
